N;b;d;μ;ρ;dim;id;path;result
10000;1.0;0.0;0.2;Inf;2;1183;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id1183.csv;0.0
10000;1.0;0.0;0.2;Inf;2;2547;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id2547.csv;0.0
10000;1.0;0.0;0.2;Inf;2;2833;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id2833.csv;0.0
10000;1.0;0.0;0.2;Inf;2;3073;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id3073.csv;0.0
10000;1.0;0.0;0.2;Inf;2;3209;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id3209.csv;0.05
10000;1.0;0.0;0.2;Inf;2;3514;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id3514.csv;0.09090909090909091
10000;1.0;0.0;0.2;Inf;2;4955;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id4955.csv;0.0
10000;1.0;0.0;0.2;Inf;2;8454;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id8454.csv;0.0
10000;1.0;0.0;0.2;Inf;2;8601;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id8601.csv;0.0
10000;1.0;0.0;0.2;Inf;2;9462;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.0_μ0.2_ρInf_2d_id9462.csv;0.1
10000;1.0;0.1;0.2;Inf;2;1647;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.1_μ0.2_ρInf_2d_id1647.csv;0.0
10000;1.0;0.1;0.2;Inf;2;1692;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d/bulk\tumor_N10000_b1.0_d0.1_μ0.2_ρInf_2d_id1692.csv;0.0
