N;b;d;μ;ρ;dim;id;path;result
10000;0.69;0.05;0.3;2.0;2;3550;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.0_2d_id3550.csv;0.07692307692307691
10000;0.69;0.05;0.3;2.0;2;8637;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.0_2d_id8637.csv;0.17777777777777778
10000;0.69;0.0;0.3;2.0;2;2100;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ2.0_2d_id2100.csv;0.0
10000;0.69;0.0;0.3;2.0;2;7197;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ2.0_2d_id7197.csv;0.0
10000;0.69;0.0;0.3;2.0;2;7227;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ2.0_2d_id7227.csv;0.0
10000;0.69;0.0;0.3;2.0;2;9055;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ2.0_2d_id9055.csv;0.0
10000;0.69;0.15;0.3;2.0;2;5762;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.15_μ0.3_ρ2.0_2d_id5762.csv;0.5652173913043478
10000;0.69;0.15;0.3;2.0;2;9640;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.15_μ0.3_ρ2.0_2d_id9640.csv;0.5076923076923077
10000;0.69;0.1;0.3;2.0;2;5860;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.1_μ0.3_ρ2.0_2d_id5860.csv;0.2638888888888889
10000;0.69;0.1;0.3;2.0;2;6213;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.1_μ0.3_ρ2.0_2d_id6213.csv;0.352112676056338
10000;0.69;0.1;0.6;2.0;2;9232;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.1_μ0.6_ρ2.0_2d_id9232.csv;0.84
10000;0.69;0.25;0.3;2.0;2;8090;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.25_μ0.3_ρ2.0_2d_id8090.csv;1.0
10000;0.69;0.25;0.3;2.0;2;9413;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.25_μ0.3_ρ2.0_2d_id9413.csv;0.9047619047619049
10000;0.69;0.2;0.3;2.0;2;7140;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.2_μ0.3_ρ2.0_2d_id7140.csv;0.8437500000000001
10000;0.69;0.2;0.3;2.0;2;7605;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.2_μ0.3_ρ2.0_2d_id7605.csv;0.896551724137931
10000;0.69;0.3;0.3;2.0;2;5715;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.3_μ0.3_ρ2.0_2d_id5715.csv;1.0
10000;0.69;0.3;0.3;2.0;2;9383;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.3_μ0.3_ρ2.0_2d_id9383.csv;0.8461538461538461
10000;0.69;0.4;0.3;2.0;2;2452;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.4_μ0.3_ρ2.0_2d_id2452.csv;1.0
10000;0.69;0.4;0.3;2.0;2;6478;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.4_μ0.3_ρ2.0_2d_id6478.csv;NaN
10000;0.69;0.4;0.3;2.0;2;8368;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.4_μ0.3_ρ2.0_2d_id8368.csv;1.0
10000;0.69;0.5;0.3;2.0;2;5504;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.5_μ0.3_ρ2.0_2d_id5504.csv;NaN
10000;0.69;0.5;0.3;2.0;2;8627;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.5_μ0.3_ρ2.0_2d_id8627.csv;NaN
