N;b;d;μ;ρ;dim;id;path;result
10000;0.69;0.05;0.3;0.8;2;1568;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ0.8_2d_id1568.csv;0.6229508196721312
10000;0.69;0.05;0.3;0.8;2;2557;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ0.8_2d_id2557.csv;0.6636363636363637
10000;0.69;0.05;0.3;1.0;2;3935;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.0_2d_id3935.csv;0.5269461077844312
10000;0.69;0.05;0.3;1.0;2;7977;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.0_2d_id7977.csv;0.6024844720496895
10000;0.69;0.05;0.3;1.3;2;1304;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.3_2d_id1304.csv;0.29775280898876405
10000;0.69;0.05;0.3;1.3;2;1954;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.3_2d_id1954.csv;0.3564356435643564
10000;0.69;0.05;0.3;1.6;2;7213;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.6_2d_id7213.csv;0.2958579881656805
10000;0.69;0.05;0.3;1.6;2;8964;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.6_2d_id8964.csv;0.2185792349726776
10000;0.69;0.05;0.3;1.8;2;2392;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.8_2d_id2392.csv;0.11409395973154363
10000;0.69;0.05;0.3;1.8;2;6970;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.8_2d_id6970.csv;0.176
10000;0.69;0.05;0.3;2.0;2;3550;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.0_2d_id3550.csv;0.06896551724137931
10000;0.69;0.05;0.3;2.0;2;8637;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.0_2d_id8637.csv;0.125
10000;0.69;0.05;0.3;2.2;2;3690;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.2_2d_id3690.csv;0.0547945205479452
10000;0.69;0.05;0.3;2.2;2;4406;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.2_2d_id4406.csv;0.047619047619047616
10000;0.69;0.0;0.3;0.8;2;1146;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ0.8_2d_id1146.csv;0.0
10000;0.69;0.0;0.3;0.8;2;3626;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ0.8_2d_id3626.csv;0.03804347826086957
10000;0.69;0.0;0.3;0.8;2;5643;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ0.8_2d_id5643.csv;0.0
10000;0.69;0.0;0.3;0.8;2;9100;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ0.8_2d_id9100.csv;0.0
10000;0.69;0.0;0.3;1.0;2;1146;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ1.0_2d_id1146.csv;0.0
10000;0.69;0.0;0.3;1.0;2;4941;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ1.0_2d_id4941.csv;0.0
