N;b;d;μ;ρ;dim;id;path;result
10000;0.69;0.05;0.3;0.8;2;1568;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ0.8_2d_id1568.csv;0.029347028613352897
10000;0.69;0.05;0.3;0.8;2;2557;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ0.8_2d_id2557.csv;0.03673913043478261
10000;0.69;0.05;0.3;1.0;2;3935;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.0_2d_id3935.csv;0.025046137621935145
10000;0.69;0.05;0.3;1.0;2;7977;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.0_2d_id7977.csv;0.022868435911914172
10000;0.69;0.05;0.3;1.3;2;1304;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.3_2d_id1304.csv;0.020931449502878074
10000;0.69;0.05;0.3;1.3;2;1954;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.3_2d_id1954.csv;0.021872601688411358
10000;0.69;0.05;0.3;1.6;2;7213;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.6_2d_id7213.csv;0.0311284046692607
10000;0.69;0.05;0.3;1.6;2;8964;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.6_2d_id8964.csv;0.030819140308191405
10000;0.69;0.05;0.3;1.8;2;2392;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.8_2d_id2392.csv;0.018998272884283247
10000;0.69;0.05;0.3;1.8;2;6970;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ1.8_2d_id6970.csv;0.02403846153846154
10000;0.69;0.05;0.3;2.0;2;3550;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.0_2d_id3550.csv;0.03468208092485549
10000;0.69;0.05;0.3;2.0;2;8637;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.0_2d_id8637.csv;0.02158273381294964
10000;0.69;0.05;0.3;2.2;2;3690;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.2_2d_id3690.csv;0.007874015748031496
10000;0.69;0.05;0.3;2.2;2;4406;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.05_μ0.3_ρ2.2_2d_id4406.csv;0.011111111111111112
10000;0.69;0.0;0.3;0.8;2;1146;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ0.8_2d_id1146.csv;0.0
10000;0.69;0.0;0.3;0.8;2;3626;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ0.8_2d_id3626.csv;0.0
10000;0.69;0.0;0.3;0.8;2;5643;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ0.8_2d_id5643.csv;0.0
10000;0.69;0.0;0.3;0.8;2;9100;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ0.8_2d_id9100.csv;0.0
10000;0.69;0.0;0.3;1.0;2;1146;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ1.0_2d_id1146.csv;0.0
10000;0.69;0.0;0.3;1.0;2;4941;C:/Users/Arman Angaji/OneDrive - Universität zu Köln/Dokumente/Uni-Köln/Masterarbeit/Workspace/Julia_Master/MasterProject_Julia/simulated_tumors/2d\tumor_N10000_b0.69_d0.0_μ0.3_ρ1.0_2d_id4941.csv;0.0
