d,orphaned,mu,estranged
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.02,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.02,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.02,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
